1.267781377272603322e+03,6.547198280043586838e-02,-1.502366291139797028e+01
1.138328966967630322e+03,1.504454167123017716e-01,-1.878077428215571132e+01
1.049498916489887961e+03,2.677044665047071392e-01,-1.901338294767750270e+01
9.821793047843084423e+02,3.595228315737990510e-01,-1.627002860506671311e+01
8.150464034376125255e+02,4.998298142784955989e-01,-1.899269366893340560e+01
5.714353087529686945e+02,1.120965900625084499e+00,-1.156825914240700826e+01
3.846655570386175214e+02,2.093394538729466792e+00,-1.469689204306620978e+00
3.182196567599985428e+02,2.255727610533331706e+00,-7.737934571848679610e+00
3.134743162998805701e+02,2.256076901256787615e+00,-1.837406068365984879e+01
2.817118531611957337e+02,2.430263535651485896e+00,-1.729716222828641392e+01
2.301370914983068872e+02,2.746078413302673216e+00,-1.348593850507374015e+01
2.194831773276716262e+02,2.869721789827804237e+00,-1.165176207844074341e+01
1.727436502918605470e+02,3.489147698208795667e+00,-9.608916470969273149e+00
1.381755031312349615e+02,4.125588064361850549e+00,-1.510896606565091993e+01
1.127725932027459805e+02,5.005541149510898791e+00,-1.316103676866784866e+01
8.378017634201478359e+01,5.951864749936449428e+00,-1.522282564360770252e+01
5.083383920755193941e+01,7.249520690216979091e+00,-1.209462910606418440e+01
1.941834129573000212e+01,8.358662981271887560e+00,-2.406071259024842313e+00
0.000000000000000000e+00,8.536416239453165744e+00,-1.193265316147660648e+01
